num,yyyy,mm,dd,hh,min,QOBS_0001,QOSI_0001,QSIM_0001,QOBS_0002,QOSI_0002,QSIM_0002
292,2009,9,13,3,0,5.02,7.65,7.65,6.75,6.21,8.91
293,2009,9,13,4,0,7.49,7.58,7.58,6.7,7.1,8.82
294,2009,9,13,5,0,8.56,7.53,7.53,6.65,8.47,8.75
295,2009,9,13,6,0,7.48,7.48,7.48,7.1,8.86,8.69
296,2009,9,13,7,0,5.44,7.42,7.42,9.07,7.97,8.63
297,2009,9,13,8,0,4.87,7.36,7.36,9.06,6.89,8.57
298,2009,9,13,9,0,5.24,7.34,7.34,7.86,6.48,8.53
299,2009,9,13,10,0,9.55,7.41,7.41,6.78,8.01,8.53
300,2009,9,13,11,0,9.85,7.57,7.57,6.51,9.82,8.62
301,2009,9,13,12,0,9.43,7.75,7.75,8.34,10.42,8.75
302,2009,9,13,13,0,6.43,7.92,7.92,10.4,9.42,8.91
303,2009,9,13,14,0,5.26,8.12,8.12,10.4,7.83,9.09
304,2009,9,13,15,0,5.02,8.33,8.33,9.13,6.85,9.28
305,2009,9,13,16,0,5.02,8.61,8.61,7.47,6.42,9.51
306,2009,9,13,17,0,5.02,9.1,9.1,6.89,6.27,9.85
307,2009,9,13,18,0,6.64,9.86,9.86,6.72,6.81,10.39
308,2009,9,13,19,0,9.98,10.82,10.82,6.64,8.67,11.15
309,2009,9,13,20,0,9.85,11.81,11.81,6.91,10.2,12.06
310,2009,9,13,21,0,7.35,12.91,12.91,9.95,9.82,13.07
311,2009,9,13,22,0,6.07,14.29,14.29,11.1,8.56,14.24
312,2009,9,13,23,0,6.39,16.14,16.14,10.2,7.89,15.74
313,2009,9,14,0,0,6.92,18.48,18.48,9.23,7.95,17.67
314,2009,9,14,1,0,7.49,21.15,21.15,9.68,8.37,20.02
315,2009,9,14,2,0,11.8,23.79,23.79,10.9,10.29,22.6
316,2009,9,14,3,0,14,25.83,25.83,12.4,12.99,25.04
317,2009,9,14,4,0,15.6,27,27,15.4,15.19,26.94
318,2009,9,14,5,0,15.7,27.4,27.4,18,16.49,28.13
319,2009,9,14,6,0,15.7,27.32,27.32,19.6,17.02,28.68
320,2009,9,14,7,0,15.7,26.94,26.94,19.8,17.25,28.74
321,2009,9,14,8,0,15.7,26.42,26.42,19.7,17.35,28.49
322,2009,9,14,9,0,17.6,25.99,25.99,19.6,18.1,28.12
323,2009,9,14,10,0,17.8,25.85,25.85,19.4,18.97,27.83
324,2009,9,14,11,0,17.8,25.77,25.77,20.6,19.36,27.68
325,2009,9,14,12,0,20.7,25.52,25.52,21.3,20.59,27.52
326,2009,9,14,13,0,21.7,25.15,25.15,21.5,22.18,27.28
327,2009,9,14,14,0,19.8,24.66,24.66,23.7,22.34,26.91
328,2009,9,14,15,0,16.9,24.08,24.08,24.2,20.82,26.43
329,2009,9,14,16,0,15.8,23.52,23.52,22.7,19.09,25.89
330,2009,9,14,17,0,18.2,22.98,22.98,20.5,19.04,25.34
331,2009,9,14,18,0,21.2,22.59,22.59,20.3,20.75,24.84
332,2009,9,14,19,0,22.8,22.62,22.62,21.8,22.77,24.57
333,2009,9,14,20,0,23.1,23.06,23.06,24,24.06,24.66
334,2009,9,14,21,0,20.8,23.84,23.84,25,23.79,25.12
335,2009,9,14,22,0,20.1,24.86,24.86,25.1,22.84,25.89
336,2009,9,14,23,0,20.9,25.93,25.93,23.7,22.63,26.86
337,2009,9,15,0,0,21,26.76,26.76,23.2,22.83,27.83
338,2009,9,15,1,0,20.7,27.13,27.13,23.9,22.83,28.55
